,1,2,3,weighted,entropy,diversity
0,22,4,4,78,34.26760733817305,5.0
1,7,5,5,36,60.2953436108104,8.0
2,0,6,3,15,0.0,1.0
3,13,8,9,64,23.25243743097579,4.0
4,7,9,10,49,62.06150105046421,8.0
5,3,4,2,19,60.25076219744204,7.0
6,2,8,6,28,34.12276560361411,4.0
7,4,13,7,45,14.55382790932885,3.0
8,7,2,0,25,45.51311356694178,5.0
9,10,5,2,42,30.99507459776595,3.0
10,7,6,3,36,45.429609509947966,5.0
11,3,8,7,32,28.189355980355796,4.0
12,3,6,9,30,33.00968084157709,4.0
13,8,5,4,38,44.18315845551727,5.0
14,3,7,4,27,0.0,1.0
15,7,8,11,48,34.62601848007679,5.0
16,9,19,16,81,34.0760063217434,5.0
17,1,5,6,19,35.0379306422211,5.0
18,1,4,12,23,38.37774710558296,5.0
19,19,16,3,92,13.058822325837186,3.0
20,3,7,1,24,18.687727610108627,2.0
21,2,12,1,31,0.0,1.0
22,5,17,10,59,26.716517741430167,3.0
23,10,14,3,61,13.380853652632398,3.0
24,9,9,6,51,60.828815745596536,9.0
25,19,2,6,67,46.070568058377276,7.0
26,5,2,4,23,28.243526876168918,4.0
27,13,9,3,60,58.41176079271792,8.0
28,1,10,0,23,9.715728251119234,2.0
29,3,4,2,19,21.909196103994535,2.0
30,0,9,4,22,40.30068579633064,5.0
31,0,6,5,17,29.228721931094128,3.0
32,2,9,18,42,31.758744405513006,4.0
33,11,9,10,61,61.03315504112727,10.0
34,6,6,1,31,54.145645772505375,6.0
35,3,5,2,21,29.993612613845652,4.0
36,5,14,2,45,32.02820365453893,3.0
37,2,4,10,24,44.21294589150076,4.0
38,3,5,4,23,18.05411523592555,3.0
39,3,5,4,23,46.994262582111055,6.0
40,7,3,1,28,29.228721931094128,3.0
41,24,15,12,114,49.49365082516418,10.0
42,8,12,2,50,48.75852576909082,7.0
43,9,3,0,33,39.44146549076104,4.0
44,12,26,14,102,20.954162844079768,8.0
45,4,4,7,27,59.83980371892583,8.0
46,12,5,4,50,36.5021481973925,4.0
47,4,7,5,31,42.8042799738041,4.0
48,4,5,3,25,48.3849209274162,5.0
49,7,18,7,64,29.255453824079154,5.0
50,6,10,1,39,0.0,1.0
51,0,8,3,19,52.35967918062388,6.0
52,8,18,4,64,38.231969879644716,6.0
